difficulty,index,method,psnr,ssim,preparation,reference_size,candidate_size
easy,1,bicubic,24.9553,0.6479,64x16_bicubic_to_128x32,128x32,128x32
easy,1,realesrgan,22.4031,0.7298,canonical_128x32,128x32,128x32
easy,1,tsrn,26.8015,0.838,canonical_128x32,128x32,128x32
easy,2,bicubic,23.1728,0.6683,64x16_bicubic_to_128x32,128x32,128x32
easy,2,realesrgan,20.2348,0.7608,canonical_128x32,128x32,128x32
easy,2,tsrn,26.4134,0.8944,canonical_128x32,128x32,128x32
easy,3,bicubic,27.3431,0.6534,64x16_bicubic_to_128x32,128x32,128x32
easy,3,realesrgan,23.4692,0.5671,canonical_128x32,128x32,128x32
easy,3,tsrn,28.6648,0.8195,canonical_128x32,128x32,128x32
easy,4,bicubic,22.9863,0.6484,64x16_bicubic_to_128x32,128x32,128x32
easy,4,realesrgan,21.2484,0.7133,canonical_128x32,128x32,128x32
easy,4,tsrn,28.6632,0.9309,canonical_128x32,128x32,128x32
easy,5,bicubic,23.4088,0.6757,64x16_bicubic_to_128x32,128x32,128x32
easy,5,realesrgan,21.2097,0.7765,canonical_128x32,128x32,128x32
easy,5,tsrn,25.2981,0.8955,canonical_128x32,128x32,128x32
easy,6,bicubic,22.8694,0.6647,64x16_bicubic_to_128x32,128x32,128x32
easy,6,realesrgan,20.8469,0.7755,canonical_128x32,128x32,128x32
easy,6,tsrn,26.4894,0.8832,canonical_128x32,128x32,128x32
easy,7,bicubic,23.5093,0.6844,64x16_bicubic_to_128x32,128x32,128x32
easy,7,realesrgan,22.3579,0.7942,canonical_128x32,128x32,128x32
easy,7,tsrn,27.8576,0.9264,canonical_128x32,128x32,128x32
easy,8,bicubic,23.1771,0.6563,64x16_bicubic_to_128x32,128x32,128x32
easy,8,realesrgan,22.7556,0.7986,canonical_128x32,128x32,128x32
easy,8,tsrn,27.2485,0.9258,canonical_128x32,128x32,128x32
easy,9,bicubic,27.2947,0.6692,64x16_bicubic_to_128x32,128x32,128x32
easy,9,realesrgan,25.4636,0.6637,canonical_128x32,128x32,128x32
easy,9,tsrn,29.4263,0.8407,canonical_128x32,128x32,128x32
easy,10,bicubic,24.439,0.879,64x16_bicubic_to_128x32,128x32,128x32
easy,10,realesrgan,20.15,0.7865,canonical_128x32,128x32,128x32
easy,10,tsrn,24.1109,0.8812,canonical_128x32,128x32,128x32
easy,11,bicubic,20.7848,0.7071,64x16_bicubic_to_128x32,128x32,128x32
easy,11,realesrgan,20.8128,0.6634,canonical_128x32,128x32,128x32
easy,11,tsrn,22.9959,0.8211,canonical_128x32,128x32,128x32
easy,12,bicubic,26.0079,0.7652,64x16_bicubic_to_128x32,128x32,128x32
easy,12,realesrgan,19.8057,0.4932,canonical_128x32,128x32,128x32
easy,12,tsrn,20.1521,0.6815,canonical_128x32,128x32,128x32
easy,13,bicubic,26.2237,0.7745,64x16_bicubic_to_128x32,128x32,128x32
easy,13,realesrgan,20.2804,0.5379,canonical_128x32,128x32,128x32
easy,13,tsrn,23.841,0.7813,canonical_128x32,128x32,128x32
easy,14,bicubic,28.1934,0.7594,64x16_bicubic_to_128x32,128x32,128x32
easy,14,realesrgan,20.8173,0.4971,canonical_128x32,128x32,128x32
easy,14,tsrn,25.1094,0.7603,canonical_128x32,128x32,128x32
easy,15,bicubic,19.9186,0.6757,64x16_bicubic_to_128x32,128x32,128x32
easy,15,realesrgan,20.5339,0.6709,canonical_128x32,128x32,128x32
easy,15,tsrn,21.8037,0.8708,canonical_128x32,128x32,128x32
easy,16,bicubic,21.7967,0.7121,64x16_bicubic_to_128x32,128x32,128x32
easy,16,realesrgan,21.0553,0.7202,canonical_128x32,128x32,128x32
