difficulty,image_type,image_name,ocr_text,confidence,notes
easy,bicubic,easy_001_lr_bicubic.png,0u04029/s1,0.2725,
easy,bicubic,easy_002_lr_bicubic.png,0u04029751,0.0988,
easy,bicubic,easy_003_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_004_lr_bicubic.png,Moses,0.2425,
easy,bicubic,easy_005_lr_bicubic.png,Improsslonlsi,0.2679,
easy,bicubic,easy_006_lr_bicubic.png,1030= 1903,0.4362,
easy,bicubic,easy_007_lr_bicubic.png,Pissaro;,0.247,
easy,bicubic,easy_008_lr_bicubic.png,Camillo,0.1476,
easy,bicubic,easy_009_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_010_lr_bicubic.png,,0.0,
easy,bicubic,easy_011_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_012_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_013_lr_bicubic.png,MAngo,0.2574,
easy,bicubic,easy_014_lr_bicubic.png,Manae,0.388,
easy,bicubic,easy_015_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_016_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_017_lr_bicubic.png,ECI,0.0562,
easy,bicubic,easy_018_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_019_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_020_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_021_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_022_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_023_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_024_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_025_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_026_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_027_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_028_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_029_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_030_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_031_lr_bicubic.png,FISu,0.3136,
easy,bicubic,easy_032_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_033_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_034_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_035_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_036_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_037_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_038_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_039_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_040_lr_bicubic.png,SILMLNS,0.4878,
easy,bicubic,easy_041_lr_bicubic.png,SILML,0.2802,
easy,bicubic,easy_042_lr_bicubic.png,SilMi,0.2157,
easy,bicubic,easy_043_lr_bicubic.png,SILM,0.2365,
easy,bicubic,easy_044_lr_bicubic.png,"SUL""'`",0.038,
easy,bicubic,easy_045_lr_bicubic.png,"Sir""' *`",0.0262,
easy,bicubic,easy_046_lr_bicubic.png,5,0.1008,
easy,bicubic,easy_047_lr_bicubic.png,SI,0.1753,
easy,bicubic,easy_048_lr_bicubic.png,SILMI,0.4084,
easy,bicubic,easy_049_lr_bicubic.png,SILML,0.7314,
easy,bicubic,easy_050_lr_bicubic.png,SILMLNS,0.5705,
easy,bicubic,easy_051_lr_bicubic.png,SILMENS,0.7359,
easy,bicubic,easy_052_lr_bicubic.png,SILMLA,0.8338,
easy,bicubic,easy_053_lr_bicubic.png,SIEMI,0.6211,
easy,bicubic,easy_054_lr_bicubic.png,SIlM,0.1401,
easy,bicubic,easy_055_lr_bicubic.png,SILM,0.4599,
easy,bicubic,easy_056_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_057_lr_bicubic.png,SICA`,0.4451,
easy,bicubic,easy_058_lr_bicubic.png,Si,0.1941,
easy,bicubic,easy_059_lr_bicubic.png,SILML,0.3812,
easy,bicubic,easy_060_lr_bicubic.png,SILML,0.4831,
easy,bicubic,easy_061_lr_bicubic.png,SILMcNS,0.1204,
easy,bicubic,easy_062_lr_bicubic.png,SCMCNS,0.193,
easy,bicubic,easy_063_lr_bicubic.png,SILMLA,0.7005,
easy,bicubic,easy_064_lr_bicubic.png,SILML,0.4588,
easy,bicubic,easy_065_lr_bicubic.png,SILi,0.1459,
easy,bicubic,easy_066_lr_bicubic.png,SUM,0.1626,
easy,bicubic,easy_067_lr_bicubic.png,S,0.1213,
easy,bicubic,easy_068_lr_bicubic.png,Gi7 MI,0.014,
easy,bicubic,easy_069_lr_bicubic.png,Si,0.1228,
easy,bicubic,easy_070_lr_bicubic.png,SIlML,0.2828,
easy,bicubic,easy_071_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_072_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_073_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_074_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_075_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_076_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_077_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_078_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_079_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_080_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_081_lr_bicubic.png,Jonaina,0.3392,
easy,bicubic,easy_082_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_083_lr_bicubic.png,Odlor,0.0223,
easy,bicubic,easy_084_lr_bicubic.png,Calo,0.1404,
easy,bicubic,easy_085_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_086_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_087_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_088_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_089_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_090_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_091_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_092_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_093_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_094_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_095_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_096_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_097_lr_bicubic.png,da,0.0351,
easy,bicubic,easy_098_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_099_lr_bicubic.png,,0.0,No text detected
easy,bicubic,easy_100_lr_bicubic.png,,0.0,No text detected
easy,sr_realesrgan,easy_001_lr_realesrgan.png,0u06029757,0.4647,
easy,sr_realesrgan,easy_002_lr_realesrgan.png,0006029757,0.5534,
easy,sr_realesrgan,easy_003_lr_realesrgan.png,EtaIIX L,0.1724,
easy,sr_realesrgan,easy_004_lr_realesrgan.png,Mosos,0.9345,
easy,sr_realesrgan,easy_005_lr_realesrgan.png,Improslools|,0.6243,
easy,sr_realesrgan,easy_006_lr_realesrgan.png,"1,83 QJWJ 903",0.5551,
easy,sr_realesrgan,easy_007_lr_realesrgan.png,"Plssamro,",0.496,
easy,sr_realesrgan,easy_008_lr_realesrgan.png,Comlllo,0.9991,
easy,sr_realesrgan,easy_009_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_010_lr_realesrgan.png,3,0.3176,
easy,sr_realesrgan,easy_011_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_012_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_013_lr_realesrgan.png,Mango,0.3896,
easy,sr_realesrgan,easy_014_lr_realesrgan.png,M ea [D DD@,0.3614,
easy,sr_realesrgan,easy_015_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_016_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_017_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_018_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_019_lr_realesrgan.png,,0.0,No text detected
easy,sr_realesrgan,easy_020_lr_realesrgan.png,,0.0,No text detected
