difficulty,image_type,image_name,ocr_text,confidence,notes
easy,sr_realesrgan,easy_001_lr_sr.png,DDG 0297 57,0.1676,
easy,sr_realesrgan,easy_002_lr_sr.png,0u0&029757,0.4924,
easy,sr_realesrgan,easy_003_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_004_lr_sr.png,Mosc,0.9941,
easy,sr_realesrgan,easy_005_lr_sr.png,Impressionisf,0.6432,
easy,sr_realesrgan,easy_006_lr_sr.png,1830=1903,0.95,
easy,sr_realesrgan,easy_007_lr_sr.png,"plssarro ,",0.3927,
easy,sr_realesrgan,easy_008_lr_sr.png,Cami,0.9941,
easy,sr_realesrgan,easy_009_lr_sr.png,BLXIc UO ((4 1 VIXL,0.2487,
easy,sr_realesrgan,easy_010_lr_sr.png,2,1.0,
easy,sr_realesrgan,easy_011_lr_sr.png,3,0.9995,
easy,sr_realesrgan,easy_012_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_013_lr_sr.png,Manpo,0.6545,
easy,sr_realesrgan,easy_014_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_015_lr_sr.png,2,1.0,
easy,sr_realesrgan,easy_016_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_017_lr_sr.png,P),0.1467,
easy,sr_realesrgan,easy_018_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_019_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_020_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_021_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_022_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_023_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_024_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_025_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_026_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_027_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_028_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_029_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_030_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_031_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_032_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_033_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_034_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_035_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_036_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_037_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_038_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_039_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_040_lr_sr.png,SIEMENS,0.997,
easy,sr_realesrgan,easy_041_lr_sr.png,SIEMEN,0.528,
easy,sr_realesrgan,easy_042_lr_sr.png,SILM,0.8712,
easy,sr_realesrgan,easy_043_lr_sr.png,SIEM,0.6627,
easy,sr_realesrgan,easy_044_lr_sr.png,S,0.6568,
easy,sr_realesrgan,easy_045_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_046_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_047_lr_sr.png,SI,0.8393,
easy,sr_realesrgan,easy_048_lr_sr.png,SIEME,0.4797,
easy,sr_realesrgan,easy_049_lr_sr.png,SIEMEE,0.4791,
easy,sr_realesrgan,easy_050_lr_sr.png,SIEMENS,0.9476,
easy,sr_realesrgan,easy_051_lr_sr.png,SIEMENS,0.6882,
easy,sr_realesrgan,easy_052_lr_sr.png,SIEMEN,0.8391,
easy,sr_realesrgan,easy_053_lr_sr.png,SIMD,0.3936,
easy,sr_realesrgan,easy_054_lr_sr.png,SIEM,0.7495,
easy,sr_realesrgan,easy_055_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_056_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_057_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_058_lr_sr.png,SI,0.2625,
easy,sr_realesrgan,easy_059_lr_sr.png,SIEM,0.8978,
easy,sr_realesrgan,easy_060_lr_sr.png,SILMEN,0.5609,
easy,sr_realesrgan,easy_061_lr_sr.png,SIEMENS,0.7655,
easy,sr_realesrgan,easy_062_lr_sr.png,SIDMENS,0.4837,
easy,sr_realesrgan,easy_063_lr_sr.png,SIEMEN,0.7613,
easy,sr_realesrgan,easy_064_lr_sr.png,SILM,0.5099,
easy,sr_realesrgan,easy_065_lr_sr.png,SIE,0.9968,
easy,sr_realesrgan,easy_066_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_067_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_068_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_069_lr_sr.png,5E,0.1392,
easy,sr_realesrgan,easy_070_lr_sr.png,SIEM,0.9994,
easy,sr_realesrgan,easy_071_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_072_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_073_lr_sr.png,DD,0.8168,
easy,sr_realesrgan,easy_074_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_075_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_076_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_077_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_078_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_079_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_080_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_081_lr_sr.png,Je MYAM,0.5317,
easy,sr_realesrgan,easy_082_lr_sr.png,"G"" U,",0.2351,
easy,sr_realesrgan,easy_083_lr_sr.png,ngbit,0.1918,
easy,sr_realesrgan,easy_084_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_085_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_086_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_087_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_088_lr_sr.png,(Mle,0.2277,
easy,sr_realesrgan,easy_089_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_090_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_091_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_092_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_093_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_094_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_095_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_096_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_097_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_098_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_099_lr_sr.png,,0,No text detected
easy,sr_realesrgan,easy_100_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_001_lr_sr.png,QiCYYY,0.0964,
medium,sr_realesrgan,medium_002_lr_sr.png,Lhur,0.7334,
medium,sr_realesrgan,medium_003_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_004_lr_sr.png,I;Oo am - 1n;00,0.1643,
medium,sr_realesrgan,medium_005_lr_sr.png,sal,0.9955,
medium,sr_realesrgan,medium_006_lr_sr.png,sun,0.8981,
medium,sr_realesrgan,medium_007_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_008_lr_sr.png,CALIFORI,0.8228,
medium,sr_realesrgan,medium_009_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_010_lr_sr.png,nMt,0.0972,
medium,sr_realesrgan,medium_011_lr_sr.png,No,0.9825,
medium,sr_realesrgan,medium_012_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_013_lr_sr.png,Wzsc,0.1778,
medium,sr_realesrgan,medium_014_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_015_lr_sr.png,4J-,0.1405,
medium,sr_realesrgan,medium_016_lr_sr.png,Tm ?,0.1074,
medium,sr_realesrgan,medium_017_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_018_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_019_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_020_lr_sr.png,0i,0.3494,
medium,sr_realesrgan,medium_021_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_022_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_023_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_024_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_025_lr_sr.png,Ohesa [,0.0819,
medium,sr_realesrgan,medium_026_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_027_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_028_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_029_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_030_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_031_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_032_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_033_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_034_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_035_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_036_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_037_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_038_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_039_lr_sr.png,"hJ""En",0.1738,
medium,sr_realesrgan,medium_040_lr_sr.png,,0,No text detected
medium,sr_realesrgan,medium_041_lr_sr.png,bxuuakud,0.1551,
medium,sr_realesrgan,medium_042_lr_sr.png,,0,No text detected
