difficulty,image_type,image_name,ocr_text,confidence,notes
easy,lr,easy_001_lr.png,0u0-0zr7s7,0.0495,
easy,lr,easy_002_lr.png,0u0-029757,0.2796,
easy,lr,easy_003_lr.png,,0,No text detected
easy,lr,easy_004_lr.png,MOse,0.2436,
easy,lr,easy_005_lr.png,Impressionist,0.5232,
easy,lr,easy_006_lr.png,1830 903,0.6009,
easy,lr,easy_007_lr.png,Pissaro,0.3148,
easy,lr,easy_008_lr.png,Camilo,0.1961,
easy,lr,easy_009_lr.png,,0,No text detected
easy,lr,easy_010_lr.png,2,1.0,
easy,lr,easy_011_lr.png,3,0.9854,
easy,lr,easy_012_lr.png,,0,No text detected
easy,lr,easy_013_lr.png,MAneo,0.254,
easy,lr,easy_014_lr.png,Mana,0.1436,
easy,lr,easy_015_lr.png,2,0.821,
easy,lr,easy_016_lr.png,,0,No text detected
easy,lr,easy_017_lr.png,,0,No text detected
easy,lr,easy_018_lr.png,,0,No text detected
easy,lr,easy_019_lr.png,,0,No text detected
easy,lr,easy_020_lr.png,,0,No text detected
easy,lr,easy_021_lr.png,,0,No text detected
easy,lr,easy_022_lr.png,,0,No text detected
easy,lr,easy_023_lr.png,,0,No text detected
easy,lr,easy_024_lr.png,,0,No text detected
easy,lr,easy_025_lr.png,,0,No text detected
easy,lr,easy_026_lr.png,,0,No text detected
easy,lr,easy_027_lr.png,,0,No text detected
easy,lr,easy_028_lr.png,,0,No text detected
easy,lr,easy_029_lr.png,,0,No text detected
easy,lr,easy_030_lr.png,,0,No text detected
easy,lr,easy_031_lr.png,ESH,0.112,
easy,lr,easy_032_lr.png,,0,No text detected
easy,lr,easy_033_lr.png,,0,No text detected
easy,lr,easy_034_lr.png,,0,No text detected
easy,lr,easy_035_lr.png,,0,No text detected
easy,lr,easy_036_lr.png,,0,No text detected
easy,lr,easy_037_lr.png,,0,No text detected
easy,lr,easy_038_lr.png,,0,No text detected
easy,lr,easy_039_lr.png,,0,No text detected
easy,lr,easy_040_lr.png,SILMLAS,0.3002,
easy,lr,easy_041_lr.png,SILML,0.199,
easy,lr,easy_042_lr.png,SILM,0.732,
easy,lr,easy_043_lr.png,SIa,0.1224,
easy,lr,easy_044_lr.png,,0,No text detected
easy,lr,easy_045_lr.png,,0,No text detected
easy,lr,easy_046_lr.png,,0,No text detected
easy,lr,easy_047_lr.png,,0,No text detected
easy,lr,easy_048_lr.png,SILMA,0.2202,
easy,lr,easy_049_lr.png,SILML,0.6414,
easy,lr,easy_050_lr.png,SILMLAS,0.5815,
easy,lr,easy_051_lr.png,SIEMENS,0.2904,
easy,lr,easy_052_lr.png,SILMLA,0.5644,
easy,lr,easy_053_lr.png,SIEMI,0.181,
easy,lr,easy_054_lr.png,SILA,0.1774,
easy,lr,easy_055_lr.png,,0,No text detected
easy,lr,easy_056_lr.png,,0,No text detected
easy,lr,easy_057_lr.png,,0,No text detected
easy,lr,easy_058_lr.png,,0,No text detected
easy,lr,easy_059_lr.png,SILM,0.5274,
easy,lr,easy_060_lr.png,SILML,0.354,
easy,lr,easy_061_lr.png,SILMGAS,0.3177,
easy,lr,easy_062_lr.png,SICMCNS,0.1507,
easy,lr,easy_063_lr.png,SILML,0.3482,
easy,lr,easy_064_lr.png,SIEM,0.2217,
easy,lr,easy_065_lr.png,SIL,0.2136,
easy,lr,easy_066_lr.png,,0,No text detected
easy,lr,easy_067_lr.png,,0,No text detected
easy,lr,easy_068_lr.png,,0,No text detected
easy,lr,easy_069_lr.png,,0,No text detected
easy,lr,easy_070_lr.png,SILM,0.3201,
easy,lr,easy_071_lr.png,,0,No text detected
easy,lr,easy_072_lr.png,,0,No text detected
easy,lr,easy_073_lr.png,,0,No text detected
easy,lr,easy_074_lr.png,,0,No text detected
easy,lr,easy_075_lr.png,,0,No text detected
easy,lr,easy_076_lr.png,,0,No text detected
easy,lr,easy_077_lr.png,,0,No text detected
easy,lr,easy_078_lr.png,,0,No text detected
easy,lr,easy_079_lr.png,,0,No text detected
easy,lr,easy_080_lr.png,,0,No text detected
easy,lr,easy_081_lr.png,,0,No text detected
easy,lr,easy_082_lr.png,,0,No text detected
easy,lr,easy_083_lr.png,,0,No text detected
easy,lr,easy_084_lr.png,,0,No text detected
easy,lr,easy_085_lr.png,,0,No text detected
easy,lr,easy_086_lr.png,,0,No text detected
easy,lr,easy_087_lr.png,,0,No text detected
easy,lr,easy_088_lr.png,,0,No text detected
