difficulty,image_type,image_name,ocr_text,confidence,notes
easy,lr,easy_01_lr.png,0u0-0zr7s7,0.0495,
easy,lr,easy_02_lr.png,0u0-029757,0.2796,
easy,lr,easy_03_lr.png,,0,No text detected
easy,lr,easy_04_lr.png,MOse,0.2436,
easy,lr,easy_05_lr.png,Impressionist,0.5232,
easy,hr,easy_01_hr.png,0u04029757,0.6257,
easy,hr,easy_02_hr.png,0u0402975-,0.7022,
easy,hr,easy_03_hr.png,Camilla,0.5064,
easy,hr,easy_04_hr.png,Moses,0.9998,
easy,hr,easy_05_hr.png,Impressionist,0.9984,
medium,lr,medium_01_lr.png,QuicKy,0.1619,
medium,lr,medium_02_lr.png,nur,0.6202,
medium,lr,medium_03_lr.png,In,0.8764,
medium,lr,medium_04_lr.png,"11.00 am U 11,00",0.3724,
medium,lr,medium_05_lr.png,sal,0.9695,
medium,hr,medium_01_hr.png,Quickiy,0.3833,
medium,hr,medium_02_hr.png,thur,1.0,
medium,hr,medium_03_hr.png,fri,0.9997,
medium,hr,medium_04_hr.png,11.00 am 11.00,0.8765,
medium,hr,medium_05_hr.png,sat,0.9993,
hard,lr,hard_01_lr.png,cuc,0.0953,
hard,lr,hard_02_lr.png,WE RE,0.5313,
hard,lr,hard_03_lr.png,HiRING,0.4198,
hard,lr,hard_04_lr.png,Lcebl,0.0063,
hard,lr,hard_05_lr.png,,0,No text detected
hard,hr,hard_01_hr.png,Quickly,0.3043,
hard,hr,hard_02_hr.png,WE RE,0.9497,
hard,hr,hard_03_hr.png,HIRING,0.8788,
hard,hr,hard_04_hr.png,Jobs@QuickIyUSAcOm,0.5816,
hard,hr,hard_05_hr.png,Jobs@QuicklyUSA com,0.4134,
