difficulty,image_name,psnr,ssim,alignment
easy,easy_001_lr_sr.png,25.3398,0.781,bicubic_to_hr
easy,easy_002_lr_sr.png,23.1971,0.8329,bicubic_to_hr
easy,easy_003_lr_sr.png,26.5938,0.6012,bicubic_to_hr
easy,easy_004_lr_sr.png,24.1665,0.8361,bicubic_to_hr
easy,easy_005_lr_sr.png,24.3312,0.8508,bicubic_to_hr
easy,easy_006_lr_sr.png,24.8581,0.8732,bicubic_to_hr
easy,easy_007_lr_sr.png,23.6707,0.8382,bicubic_to_hr
easy,easy_008_lr_sr.png,24.593,0.8399,bicubic_to_hr
easy,easy_009_lr_sr.png,26.104,0.6483,bicubic_to_hr
easy,easy_010_lr_sr.png,19.7539,0.8462,bicubic_to_hr
easy,easy_011_lr_sr.png,22.3185,0.8109,bicubic_to_hr
easy,easy_012_lr_sr.png,23.9776,0.6752,bicubic_to_hr
easy,easy_013_lr_sr.png,23.2451,0.6448,bicubic_to_hr
easy,easy_014_lr_sr.png,26.2552,0.6511,bicubic_to_hr
easy,easy_015_lr_sr.png,22.1015,0.8134,bicubic_to_hr
easy,easy_016_lr_sr.png,20.3418,0.741,bicubic_to_hr
easy,easy_017_lr_sr.png,21.1521,0.7766,bicubic_to_hr
easy,easy_018_lr_sr.png,33.0351,0.8395,bicubic_to_hr
easy,easy_019_lr_sr.png,34.1122,0.9058,bicubic_to_hr
easy,easy_020_lr_sr.png,32.9876,0.8052,bicubic_to_hr
easy,easy_021_lr_sr.png,32.3844,0.825,bicubic_to_hr
easy,easy_022_lr_sr.png,30.8555,0.8461,bicubic_to_hr
easy,easy_023_lr_sr.png,32.9055,0.8875,bicubic_to_hr
easy,easy_024_lr_sr.png,32.2135,0.8168,bicubic_to_hr
easy,easy_025_lr_sr.png,33.5532,0.8803,bicubic_to_hr
easy,easy_026_lr_sr.png,31.9158,0.8485,bicubic_to_hr
easy,easy_027_lr_sr.png,31.373,0.7936,bicubic_to_hr
easy,easy_028_lr_sr.png,29.3286,0.8139,bicubic_to_hr
easy,easy_029_lr_sr.png,27.2054,0.7508,bicubic_to_hr
