difficulty,image_name,psnr,ssim,alignment
easy,easy_001_lr_tsrn.png,26.5961,0.8286,bicubic_to_hr
easy,easy_002_lr_tsrn.png,25.9836,0.8807,bicubic_to_hr
easy,easy_003_lr_tsrn.png,28.5493,0.8206,bicubic_to_hr
easy,easy_004_lr_tsrn.png,28.4585,0.9394,bicubic_to_hr
easy,easy_005_lr_tsrn.png,24.6794,0.8657,bicubic_to_hr
easy,easy_006_lr_tsrn.png,25.8935,0.8635,bicubic_to_hr
easy,easy_007_lr_tsrn.png,27.5947,0.9246,bicubic_to_hr
easy,easy_008_lr_tsrn.png,26.9824,0.9258,bicubic_to_hr
easy,easy_009_lr_tsrn.png,29.1792,0.8332,bicubic_to_hr
easy,easy_010_lr_tsrn.png,24.1409,0.9007,bicubic_to_hr
easy,easy_011_lr_tsrn.png,22.9874,0.8395,bicubic_to_hr
easy,easy_012_lr_tsrn.png,20.1529,0.7063,bicubic_to_hr
easy,easy_013_lr_tsrn.png,23.8843,0.7989,bicubic_to_hr
easy,easy_014_lr_tsrn.png,25.1446,0.7714,bicubic_to_hr
easy,easy_015_lr_tsrn.png,21.7954,0.8755,bicubic_to_hr
easy,easy_016_lr_tsrn.png,21.847,0.8114,bicubic_to_hr
easy,easy_017_lr_tsrn.png,25.3143,0.8833,bicubic_to_hr
easy,easy_018_lr_tsrn.png,21.0329,0.7032,bicubic_to_hr
easy,easy_019_lr_tsrn.png,19.9181,0.6485,bicubic_to_hr
easy,easy_020_lr_tsrn.png,22.5761,0.485,bicubic_to_hr
easy,easy_021_lr_tsrn.png,21.4489,0.5499,bicubic_to_hr
easy,easy_022_lr_tsrn.png,17.5802,0.6211,bicubic_to_hr
easy,easy_023_lr_tsrn.png,21.0384,0.6301,bicubic_to_hr
easy,easy_024_lr_tsrn.png,23.426,0.6481,bicubic_to_hr
easy,easy_025_lr_tsrn.png,23.2072,0.6517,bicubic_to_hr
easy,easy_026_lr_tsrn.png,20.0658,0.6022,bicubic_to_hr
easy,easy_027_lr_tsrn.png,22.5594,0.5614,bicubic_to_hr
easy,easy_028_lr_tsrn.png,22.7007,0.6226,bicubic_to_hr
easy,easy_029_lr_tsrn.png,24.2512,0.7127,bicubic_to_hr
easy,easy_030_lr_tsrn.png,25.7476,0.6452,bicubic_to_hr
easy,easy_031_lr_tsrn.png,27.0512,0.8347,bicubic_to_hr
easy,easy_032_lr_tsrn.png,25.5032,0.7243,bicubic_to_hr
easy,easy_033_lr_tsrn.png,29.7044,0.7665,bicubic_to_hr
easy,easy_034_lr_tsrn.png,26.905,0.7456,bicubic_to_hr
easy,easy_035_lr_tsrn.png,26.2725,0.6719,bicubic_to_hr
easy,easy_036_lr_tsrn.png,25.3972,0.7618,bicubic_to_hr
easy,easy_037_lr_tsrn.png,25.7011,0.7917,bicubic_to_hr
easy,easy_038_lr_tsrn.png,25.4023,0.7763,bicubic_to_hr
easy,easy_039_lr_tsrn.png,26.3052,0.7923,bicubic_to_hr
easy,easy_040_lr_tsrn.png,26.6684,0.9216,bicubic_to_hr
easy,easy_041_lr_tsrn.png,25.793,0.8637,bicubic_to_hr
easy,easy_042_lr_tsrn.png,25.4387,0.8366,bicubic_to_hr
easy,easy_043_lr_tsrn.png,26.9864,0.8584,bicubic_to_hr
easy,easy_044_lr_tsrn.png,27.2638,0.7737,bicubic_to_hr
easy,easy_045_lr_tsrn.png,29.6691,0.8492,bicubic_to_hr
easy,easy_046_lr_tsrn.png,29.7166,0.8525,bicubic_to_hr
easy,easy_047_lr_tsrn.png,28.4188,0.825,bicubic_to_hr
easy,easy_048_lr_tsrn.png,26.6443,0.8476,bicubic_to_hr
easy,easy_049_lr_tsrn.png,27.1396,0.8718,bicubic_to_hr
easy,easy_050_lr_tsrn.png,27.681,0.9338,bicubic_to_hr
easy,easy_051_lr_tsrn.png,27.1225,0.9324,bicubic_to_hr
easy,easy_052_lr_tsrn.png,26.9387,0.8761,bicubic_to_hr
easy,easy_053_lr_tsrn.png,26.3948,0.8321,bicubic_to_hr
easy,easy_054_lr_tsrn.png,26.694,0.8295,bicubic_to_hr
easy,easy_055_lr_tsrn.png,27.9374,0.7185,bicubic_to_hr
easy,easy_056_lr_tsrn.png,28.8977,0.7527,bicubic_to_hr
easy,easy_057_lr_tsrn.png,28.8185,0.771,bicubic_to_hr
easy,easy_058_lr_tsrn.png,26.9423,0.7951,bicubic_to_hr
easy,easy_059_lr_tsrn.png,25.7359,0.8273,bicubic_to_hr
easy,easy_060_lr_tsrn.png,27.2744,0.8725,bicubic_to_hr
easy,easy_061_lr_tsrn.png,26.8095,0.9215,bicubic_to_hr
easy,easy_062_lr_tsrn.png,27.8851,0.9229,bicubic_to_hr
easy,easy_063_lr_tsrn.png,28.5887,0.8983,bicubic_to_hr
easy,easy_064_lr_tsrn.png,26.7761,0.8308,bicubic_to_hr
easy,easy_065_lr_tsrn.png,26.0062,0.82,bicubic_to_hr
easy,easy_066_lr_tsrn.png,26.2235,0.7291,bicubic_to_hr
easy,easy_067_lr_tsrn.png,30.6495,0.7708,bicubic_to_hr
easy,easy_068_lr_tsrn.png,28.907,0.8166,bicubic_to_hr
easy,easy_069_lr_tsrn.png,28.2031,0.7743,bicubic_to_hr
easy,easy_070_lr_tsrn.png,25.624,0.8105,bicubic_to_hr
easy,easy_071_lr_tsrn.png,24.6463,0.681,bicubic_to_hr
easy,easy_072_lr_tsrn.png,23.614,0.742,bicubic_to_hr
easy,easy_073_lr_tsrn.png,25.3832,0.6801,bicubic_to_hr
easy,easy_074_lr_tsrn.png,22.9952,0.6765,bicubic_to_hr
easy,easy_075_lr_tsrn.png,26.7489,0.6906,bicubic_to_hr
easy,easy_076_lr_tsrn.png,26.8685,0.7133,bicubic_to_hr
easy,easy_077_lr_tsrn.png,23.8128,0.6769,bicubic_to_hr
easy,easy_078_lr_tsrn.png,26.5556,0.6138,bicubic_to_hr
easy,easy_079_lr_tsrn.png,28.4665,0.7091,bicubic_to_hr
easy,easy_080_lr_tsrn.png,30.4171,0.7585,bicubic_to_hr
easy,easy_081_lr_tsrn.png,29.1404,0.9164,bicubic_to_hr
easy,easy_082_lr_tsrn.png,25.0678,0.8232,bicubic_to_hr
easy,easy_083_lr_tsrn.png,27.7247,0.8645,bicubic_to_hr
easy,easy_084_lr_tsrn.png,26.7334,0.8784,bicubic_to_hr
easy,easy_085_lr_tsrn.png,26.8538,0.7903,bicubic_to_hr
easy,easy_086_lr_tsrn.png,24.4118,0.7587,bicubic_to_hr
easy,easy_087_lr_tsrn.png,26.8931,0.7217,bicubic_to_hr
easy,easy_088_lr_tsrn.png,27.3449,0.7917,bicubic_to_hr
easy,easy_089_lr_tsrn.png,27.3598,0.6778,bicubic_to_hr
easy,easy_090_lr_tsrn.png,27.0859,0.7949,bicubic_to_hr
easy,easy_091_lr_tsrn.png,29.2821,0.7885,bicubic_to_hr
easy,easy_092_lr_tsrn.png,26.5209,0.722,bicubic_to_hr
easy,easy_093_lr_tsrn.png,26.5394,0.7917,bicubic_to_hr
easy,easy_094_lr_tsrn.png,26.392,0.8312,bicubic_to_hr
easy,easy_095_lr_tsrn.png,28.4008,0.8631,bicubic_to_hr
easy,easy_096_lr_tsrn.png,29.545,0.8158,bicubic_to_hr
easy,easy_097_lr_tsrn.png,26.6804,0.8894,bicubic_to_hr
easy,easy_098_lr_tsrn.png,27.9432,0.6951,bicubic_to_hr
easy,easy_099_lr_tsrn.png,28.0931,0.7461,bicubic_to_hr
easy,easy_100_lr_tsrn.png,29.6661,0.7529,bicubic_to_hr
medium,medium_001_lr_tsrn.png,17.4427,0.6698,bicubic_to_hr
medium,medium_002_lr_tsrn.png,17.9805,0.6625,bicubic_to_hr
medium,medium_003_lr_tsrn.png,20.2354,0.6686,bicubic_to_hr
medium,medium_004_lr_tsrn.png,18.837,0.5215,bicubic_to_hr
medium,medium_005_lr_tsrn.png,18.4352,0.6409,bicubic_to_hr
medium,medium_006_lr_tsrn.png,18.0429,0.6058,bicubic_to_hr
medium,medium_007_lr_tsrn.png,14.7239,0.6377,bicubic_to_hr
medium,medium_008_lr_tsrn.png,16.3374,0.6593,bicubic_to_hr
medium,medium_009_lr_tsrn.png,17.706,0.624,bicubic_to_hr
medium,medium_010_lr_tsrn.png,16.1808,0.6534,bicubic_to_hr
medium,medium_011_lr_tsrn.png,22.0263,0.6451,bicubic_to_hr
medium,medium_012_lr_tsrn.png,23.0241,0.6301,bicubic_to_hr
medium,medium_013_lr_tsrn.png,23.5929,0.6904,bicubic_to_hr
medium,medium_014_lr_tsrn.png,23.1594,0.6202,bicubic_to_hr
medium,medium_015_lr_tsrn.png,21.5851,0.6215,bicubic_to_hr
medium,medium_016_lr_tsrn.png,18.5353,0.7087,bicubic_to_hr
medium,medium_017_lr_tsrn.png,25.1408,0.7028,bicubic_to_hr
medium,medium_018_lr_tsrn.png,21.4474,0.727,bicubic_to_hr
medium,medium_019_lr_tsrn.png,26.0261,0.6833,bicubic_to_hr
medium,medium_020_lr_tsrn.png,18.9438,0.7376,bicubic_to_hr
medium,medium_021_lr_tsrn.png,24.3391,0.6539,bicubic_to_hr
medium,medium_022_lr_tsrn.png,23.5167,0.6893,bicubic_to_hr
medium,medium_023_lr_tsrn.png,20.1241,0.7034,bicubic_to_hr
medium,medium_024_lr_tsrn.png,24.8373,0.6282,bicubic_to_hr
medium,medium_025_lr_tsrn.png,25.626,0.683,bicubic_to_hr
medium,medium_026_lr_tsrn.png,22.3172,0.6657,bicubic_to_hr
medium,medium_027_lr_tsrn.png,23.3128,0.7282,bicubic_to_hr
medium,medium_028_lr_tsrn.png,24.9649,0.6752,bicubic_to_hr
medium,medium_029_lr_tsrn.png,21.1938,0.6161,bicubic_to_hr
medium,medium_030_lr_tsrn.png,23.9236,0.5828,bicubic_to_hr
medium,medium_031_lr_tsrn.png,23.2431,0.622,bicubic_to_hr
medium,medium_032_lr_tsrn.png,23.2694,0.5735,bicubic_to_hr
